SVSPP,COMNAME,SCINAME,FISH,PD,TL
341,ICELAND SCALLOP CLAPPER,CHLAMYS ISLANDICA CLAPPER,N,NA,NA
342,NORTHERN HORSEMUSSEL,MODIOLUS MODIOLUS,N,NA,NA
343,BLUE MUSSEL,MYTILUS EDULIS,N,NA,NA
344,WAVED WHELK,BUCCINUM UNDATUM,N,NA,NA
345,TEN-RIDGED WHELK,NEPTUNEA DECEMCOSTATA,N,NA,NA
346,STIMPSON'S WHELK,COLUS STIMPSONI,N,NA,NA
347,,NASSARIUS ,N,NA,NA
348,NORTHERN MOONSNAIL,EUSPIRA HEROS,N,NA,NA
349,SHARK EYE,NEVERITA DUPLICATA,N,NA,NA
352,SHORTFIN MAKO,ISURUS OXYRINCHUS,N,NA,NA
353,PORBEAGLE SHARK,LAMNA NASUS,Y,NA,NA
354,BLACKNOSE SHARK,CARCHARHINUS ACRONOTUS,Y,NA,NA
355,SILKY SHARK,CARCHARHINUS FALCIFORMIS,Y,NA,NA
357,BLACKTIP SHARK,CARCHARHINUS LIMBATUS,Y,NA,NA
360,ATLANTIC SHARPNOSE SHARK,RHIZOPRIONODON TERRAENOVAE,Y,D,NA
362,SCALLOPED HAMMERHEAD SHARK,SPHYRNA LEWINI,Y,NA,NA
364,BONNETHEAD SHARK,SPHYRNA TIBURO,Y,NA,NA
373,ATLANTIC STINGRAY,DASYATIS SABINA,Y,NA,NA
375,SPINY BUTTERFLY RAY,GYMNURA ALTAVELA,Y,NA,NA
376,SMOOTH BUTTERFLY RAY,GYMNURA MICRURA,Y,NA,NA
378,SOUTHERN EAGLE RAY,MYLIOBATIS GOODEI,Y,NA,NA
380,ATLANTIC STURGEON,ACIPENSER OXYRHYNCHUS,Y,NA,NA
381,LADYFISH,ELOPS SAURUS,Y,NA,NA
382,TARPON,MEGALOPS ATLANTICUS,Y,NA,NA
384,AMERICAN EEL,ANGUILLA ROSTRATA,Y,NA,NA
389,BANDTOOTH CONGER,ARIOSOMA BALEARICUM,Y,NA,NA
390,CONGER EEL UNCL,CONGRIDAE,Y,NA,NA
393,SPECKLED WORM EEL,MYROPHIS PUNCTATUS,Y,NA,NA
395,SHRIMP EEL,OPHICHTHUS GOMESI,Y,NA,NA
396,PALESPOTTED EEL,OPHICHTHUS PUNCTICEPS,Y,NA,NA
400,SEA SCALLOP CLAPPER,PLACOPECTEN MAGELLANICUS CLAPPER,N,NA,NA
401,SEA SCALLOP,PLACOPECTEN MAGELLANICUS,N,NA,NA
